Date,Open,High,Low,Close,Adj Close,Volume
2017-07-17,31.790001,32.049999,31.639999,32.009998,31.615602,3126600
2017-07-18,31.980000,32.259998,31.830000,32.060001,31.664989,2248700
2017-07-19,32.049999,32.340000,31.920000,32.160000,31.763756,2493600
2017-07-20,32.209999,32.259998,31.740000,31.740000,31.348932,3643100
2017-07-21,31.719999,31.740000,31.420000,31.590000,31.200779,3304000
2017-07-24,31.510000,31.660000,31.240000,31.340000,30.953859,4416000
2017-07-25,31.350000,31.730000,31.080000,31.700001,31.309425,3002200
2017-07-26,31.629999,32.119999,31.610001,31.990000,31.595852,3315400
2017-07-27,31.809999,32.000000,31.389999,31.910000,31.516836,3082400
2017-07-28,31.940001,32.070000,31.650000,31.830000,31.437822,3144300
2017-07-31,31.840000,32.049999,31.520000,31.650000,31.260040,9972100
2017-08-01,31.760000,31.799999,29.990000,30.250000,29.877291,6385800
2017-08-02,30.129999,30.250000,29.719999,30.030001,29.660002,5740600
2017-08-03,29.580000,30.070000,29.450001,30.030001,30.030001,2967200
2017-08-04,29.910000,30.000000,29.620001,29.850000,29.850000,2142900
2017-08-07,29.820000,29.900000,29.430000,29.559999,29.559999,3501000
2017-08-08,29.410000,29.629999,29.250000,29.610001,29.610001,4181100
2017-08-09,29.670000,29.770000,29.370001,29.379999,29.379999,2902000
2017-08-10,29.330000,29.500000,29.150000,29.190001,29.190001,2368400
2017-08-11,29.170000,29.290001,28.930000,29.270000,29.270000,3222400
2017-08-14,29.360001,29.870001,29.290001,29.799999,29.799999,2821085
